year,study_ID,year_of_collection ,continent ,country,latitude,longitude,hs1,hs,IS03,Order,host_species1,bees_type,host1,host,dm,dignostic_method,genus,Tryp_species1,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,notes,all_type,all_type2,md,insec1,insec,sm,Column1,Column2
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Mozambique,25°44’S,28°12’E,1,1,MOZ,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Mozambique,25°44’S,28°12’E,1,1,MOZ,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Mozambique,25°44’S,28°12’E,1,1,MOZ,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Guinea- Bissau ,25°44’S,28°12’E,1,1,GNB,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Guinea- Bissau ,25°44’S,28°12’E,1,1,GNB,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Guinea- Bissau ,25°44’S,28°12’E,1,1,GNB,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Colombia,25°44’S,28°12’E,1,1,COL,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Colombia,25°44’S,28°12’E,1,1,COL,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Colombia,25°44’S,28°12’E,1,1,COL,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,French Guyana,25°44’S,28°12’E,1,1,GUF,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,French Guyana,25°44’S,28°12’E,1,1,GUF,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,French Guyana,25°44’S,28°12’E,1,1,GUF,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Panamá,25°44’S,28°12’E,1,1,PAN,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Panamá,25°44’S,28°12’E,1,1,PAN,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Panamá,25°44’S,28°12’E,1,1,PAN,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Venezuela,25°44’S,28°12’E,1,1,VEN,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Venezuela,25°44’S,28°12’E,1,1,VEN,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Venezuela,25°44’S,28°12’E,1,1,VEN,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Brazil,25°44’S,28°12’E,1,1,BRA,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Brazil,25°44’S,28°12’E,1,1,BRA,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Brazil,25°44’S,28°12’E,1,1,BRA,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Ecuador,25°44’S,28°12’E,1,1,ECU,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Ecuador,25°44’S,28°12’E,1,1,ECU,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Ecuador,25°44’S,28°12’E,1,1,ECU,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Madagascar,25°44’S,28°12’E,1,1,MDG,Diptera,Chrysomya albiceps,"Chrysomya albiceps, Chrysomya megacephala, Chrysomya putoria, Lucilia sericata, Lucilia eximia, Musca domestica, Ornidia obesa, Zelus leucogrammus, Cochliomyia hominivorax, Cochliomyia macellaria, Glossina sp., Cochliomyia hominivorax.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Agomonas_deanei,3900,184,4.7,29467742,184,3716,0.047,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Madagascar,25°44’S,28°12’E,1,1,MDG,Diptera,Lucilia eximia,"Lucilia eximia, Chrysomya putoria, Chrysomya megacephala, Chrysomya albiceps.",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_ambiguus,3900,12,0.3,29467742,12,3888,0.003,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2018,"(Borghesan et al., 2018)",,Africa and sourth/central Amarica ,Madagascar,25°44’S,28°12’E,1,1,MDG,Diptera,Chrysomya megacephala,"Chrysomya megacephala, Chrysomya putoria, Cochliomyia hominivorax, Cochliomyia macellaria, Lucilia sericata, Lucilia eximia. Ornidia obesa. ",flies (mono),flies,micro,microscopic examination,Agomonas_spp.,Agomonas_spp.,Angomonas_desouzai,3900,38,1,29467742,38,3862,0.01,,angomonas spp.,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2016,"(Hodo et al., 2016)",NA,North America,United States,39°91’N,77°02’W,1,2,USA,Chiroptera,Tadarida brasiliensis,,bats,bats,mol, PCR ,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,476,4,0.8,27647574,4,472,0.008,,,3,monoxenous_spp.,monoxenous_spp.,none_insects,2,meta,,
2016,"(Hodo et al., 2016)",NA,North America,United States,39°91’N,77°02’W,1,2,USA,Chiroptera,Nycticeius humeralis ,,bats,bats,mol, PCR ,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,70,1,1.4,27647574,1,69,0.014,,,3,monoxenous_spp.,monoxenous_spp.,none_insects,2,meta,,
2009,"(Marti et al., 2009)",2002-2005,South America,Argentina,36°30’S,60°00’W,3,3,ARG,Hemiptera,,True bug,truebugs (mono),truebugs,mol,PCR,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,1646,7,0.43,19660466,7,1639,0.0043,,Blastocrithidia_triatomae,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2019,"(Votypka et al., 2019)",,South America,Caribbean,,,1,2,CUW,Diptera,Mecidea longula ,Mecidea longula ,truebugs (mono),truebugs,mol,PCR,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,33,3,9.09,m13,3,30,0.0909,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2019,"(Votypka et al., 2019)",,South America,Caribbean,,,1,2,CUW,Diptera,Neomegalotomus parvus ,Neomegalotomus parvus ,truebugs (mono),truebugs,mol,PCR,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,37,2,5.41,m13,2,35,0.0541,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_bimaculatus,Bombus_spp. ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,130,11,8.7,34,11,119,0.087,WM,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_fervidus,Bombus_spp. ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,50,3,5.3,34,3,47,0.053,WM,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_griseocollis,Bombus_spp. ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,98,10,10.2,34,10,88,0.102,WM,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_impatiens,Bombus_spp. ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,212,53,25,34,53,159,0.25,WM,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_rufocinctus,Bombus_spp. ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,55,41,75,34,41,14,0.75,WM,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_borealis,Bombus_spp. ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,83,9,11.1,34,9,74,0.111,WM,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_bifarius,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,2096,57,2.72,22119631,57,2039,0.0272,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_bimaculatus,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,1070,31,2.9,22119631,31,1039,0.029,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_fervidus,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,55,1,1.82,22119631,1,54,0.0182,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_flavifrons,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,119,2,1.68,22119631,2,117,0.0168,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_frigidus,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,12,3,25,22119631,3,9,0.25,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_impatiens,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,2864,95,3.32,22119631,95,2769,0.0332,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_melanopygus,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,70,5,7.1,22119631,5,65,0.071,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_mixtus,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,468,45,9.62,22119631,45,423,0.0962,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_occidentalis,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,172,4,2.33,22119631,4,168,0.0233,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_pensylvanicus,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,545,1,0.18,22119631,1,544,0.0018,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
2012,"(Cordes et al., 2012)",2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_sylvicola,Bombus_spp. ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,43,1,2.33,22119631,1,42,0.0233,W,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta,,
