0
"(Abbaszadeh Afshar et al., 2018)"
"(Cardoso et al., 2004)"
"(Cardoso et al., 2015)"
"(Carhuallanqui et al., 2017)"
"(Carleton et al., 2012)"
"(Carlson et al., 2013)"
"(Carnevali et al., 2017)"
"(Carreira et al., 2012)"
"(Carslake et al., 2017)"
"(Carvalho et al., 2015)"
"(Cassini et al., 2013)"
"(Castillo-Neyra et al., 2015)"
"(Castro et al., 2007)"
"(Castro et al., 2019)"
"(Catarino et al., 2001)"
"(Cavigli et al., 2016)"
"(Ceballos et al., 2006)"
"(Ceballos et al., 2005)"
"(Chagas et al., 2018)"
"(Chargui et al., 2009)"
"(Chargui et al., 2013)"
"(Chargui et al., 2018)"
"(Charles et al., 2013)"
"(Chatzis et al., 2014)"
"(Chaudhary & Iqbal, 2000)"
"(Chaudhri et al., 2013)"
"(Chaudhry et al., 2008)"
"(Chemkhi et al., 2015)"
"(Chemuliti et al., 2003)"
"(Chen et al., 2019)"
"(Cherenet et al., 2004)"
"(Cherenet et al., 2006)"
"(Chikweto et al., 2014)"
"(Chitimia et al., 2011)"
"(Chochlios et al., 2019)"
"(Chowdhury et al., 2005)"
"(Cimino et al., 2011)"
"(Clausen et al., 2003)"
"(Coleman et al., 2006)"
"(Colla et al., 2006)"
"(Collis et al., 2019)"
"(Colombo et al., 2011)"
"(Comeaux et al., 2016)"
"(Cominetti et al., 2013)"
"(Concannon et al., 2005)"
"(Constantino et al., 2015)"
"(Constantino et al., 2016)"
"(Cooper et al., 2017)"
"(Cordes et al., 2012)"
"(Coronado et al., Na)"
"(Correa et al., 2016)"
"(Cortada et al., 2004)"
"(Cortes et al., 2012)"
"(Cortez et al., 2006)"
"(Costa et al., 2019)"
"(Costa et al., 2013)"
"(Coulibaly et al., 2018)"
"(Coura-Vital et al., 2011)"
"(Coutinho et al., 2005)"
"(Couto et al., 2010)"
"(Crawford et al., 2013)"
"(Cringoli et al., 2002)"
"(Crisante et al., 2006)"
"(Cuba et al., 2002)"
"(Cuglovici et al., 2010)"
"(Cunningham et al., 2016)"
"(Curi et al., 2012)"
"(Curi et al., 2006)"
"(Curtis-Robles et al., 2018)"
"(Curtis-Robles et al., 2017)"
"(D'Alvise et al., 2019)"
"(D'Andrea et al., 2015)"
"(da Costa et al., 2015)"
"(da Costa et al., 2015)"
"(da Costa et al., 2016)"
"(da Cruz et al., 2017)"
"(da Silva et al., 2013)"
"(da Silva et al., 2014)"
"(Daflon-Teixeira et al., 2019)"
"(Dantas-Torres, 2008)"
"(Dantas-Torres et al., 2006)"
"(Dantas-Torres et al., 2010)"
"(Dario et al., Na)"
"(Dario et al., 2017)"
"(Dario et al., Na)"
"(Darvishi et al., 2019)"
"(Davaasuren et al., 2017)"
"(Davami et al., 2014)"
"(Davison et al., 2000)"
"(Davoust et al., 2014)"
"(Dayo et al., 2010)"
"(de Almeida et al., 2009)"
"(de Almeida et al., 2010)"
"(de Almeida et al., 2012)"
"(de Almeida Curi et al., 2014)"
"(de Avelar et al., 2007)"
"(de Carvalho et al., 2018)"
"(de Carvalho et al., 2007)"
"(de Carvalho et al., 2010)"
"(de Freitas et al., Na)"
"(de la Rua et al., 2011)"
"(de Lima et al., 2017)"
"(de Matos et al., 2018)"
"(de Mendonca et al., 2015)"
"(de Menezes et al., 2004)"
"(de Oliveira et al., 2015)"
"(de Oliveira et al., 2010)"
"(de Oliveira et al., 2017)"
"(de Padua et al., 2011)"
"(de Paula et al., 2010)"
"(de Rezende et al., 2017)"
"(de Seabra et al., 2015)"
"(de Sousa et al., 2014)"
"(de Thoisy et al., 2000)"
"(Deiro et al., 2018)"
"(del Puerto et al., 2010)"
"(Delafosse & Doutoum, 2004)"
"(Delafosse et al., 2006)"
"(Demir & Karakus, 2015)"
"(Dennis et al., 2014)"
"(Desquesnes et al., 2009)"
"(Deviche et al., 2001)"
"(Dhaouadi et al., 2018)"
"(Dia, 2006)"
"(Diakou et al., 2009)"
"(Diall et al., 1994)"
"(Dias et al., 2008)"
"(Dias et al., 2018)"
"(Diaz-Saez et al., 2014)"
"(Dincer et al., 2015)"
"(Dincer et al., 2016)"
"(Diniz et al., 2007)"
"(Dogan et al., 2006)"
"(Dondji et al., 2001)"
"(Dorn et al., 2012)"
"(Dos Santos et al., Na)"
"(dos Santos et al., 2005)"
"(dos Santos et al., 2010)"
"(Duarte et al., 2010)"
"(Dumitrache et al., 2016)"
"(Duprey et al., 2006)"
"(Durrani et al., 2017)"
"(Durrani et al., 2011)"
"(Dye et al., Na)"
"(Earle et al., 1991)"
"(Earle et al., 1991)"
"(Ebani et al., 2016)"
"(Ebbert et al., 2001)"
"(Echchakery et al., 2017)"
"(Echeverria et al., 2019)"
"(Efrem et al., 2010)"
"(Elhaig & Sallam, 2018)"
"(Elhaig et al., 2016)"
"(Elmayan et al., 2019)"
"(Elshafie et al., 2013)"
"(Enwezor et al., 2011)"
"(Enyaru et al., 2006)"
"(Es-Sette et al., 2016)"
"(Estrada-Franco et al., 2006)"
"(Fallah et al., 2006)"
"(Fallah et al., 2006)"
"(Fallah et al., 2011)"
"(Faye et al., 2010)"
"(Faye et al., 2001)"
"(Felipe et al., 2011)"
"(Fereig et al., 2017)"
"(Fern and es et al., 2018)"
"(Fern and ez-Bellon et al., 2008)"
"(Ferreira et al., 2015)"
"(Ferreira et al., 2017)"
"(Ferreira et al., 2018)"
"(Ferroglio et al., 2018)"
"(Fidalgo et al., 2018)"
"(Figueiredo et al., 2010)"
"(Figueiredo et al., 2010)"
"(Figueiredo et al., 2016)"
"(Fikru et al., 2015)"
"(Fikru et al., 2012)"
"(Fokin et al., 2014)"
"(Fouks & Lattorff, 2011)"
"(Fraga et al., 2016)"
"(França-Silva et al., Na)"
"(Freitas et al., 2002)"
"(Freitas et al., 2018)"
"(Fujimori et al., 2016)"
"(Fuxa et al., 2000)"
"(Galaviz-Silva et al., 2017)"
"(Galvez et al., 2010)"
"(Galvis-Ovallos et al., 2017)"
"(Gao et al., 2015)"
"(Garcia et al., 2006)"
"(Garcia et al., 2009)"
"(Garcia et al., 2018)"
"(Garcia et al., 2016)"
"(García et al., Na)"
"(Gari et al., 2010)"
"(Garvin et al., 2004)"
"(Garvin et al., 2006)"
"(Gavgani et al., 2002)"
"(Gebre-Michael et al., 2004)"
"(Ghaemi et al., 2019)"
"(Ghawar et al., 2014)"
"(Ghawar et al., 2011)"
"(Giannakopoulos et al., 2017)"
"(Gicheru et al., 2009)"
"(Gillespie, 2010)"
"(Gillingwater et al., 2010)"
"(Giorgobiani et al., 2011)"
"(Gizzarelli et al., 2019)"
"(Godoi et al., 2002)"
"(Gomez-Hern and ez et al., 2008)"
"(Goncalves et al., 2009)"
"(Gontijo et al., 2002)"
"(Gonzales et al., 2007)"
"(Goossens et al., 2006)"
"(Gorchakov et al., 2016)"
"(Gotsch et al., 2009)"
"(Goulson et al., 2018)"
"(Goulson et al., 2012)"
"(Graystock et al., 2014)"
"(Grijalva et al., 2003)"
"(Grijalva et al., 2015)"
"(Grisard et al., 2000)"
"(Grybchuk-Ieremenko et al., 2014)"
"(Guedegbe et al., 1992)"
"(Guerbouj et al., 2014)"
"(Guerra et al., 2013)"
"(Guimaraes et al., 2005)"
"(Gunasekara et al., 2019)"
"(Gurtler et al., 1996)"
"(Gürtler et al., 2007)"
"(Gutierrez et al., 2000)"
"(Haas et al., 2012)"
"(Haenen et al., 2010)"
"(Hagos et al., 2010)"
"(Hagos et al., 2010)"
"(Haji et al., 2014)"
"(Haji et al., 2015)"
"(Hall et al., 2007)"
"(Hamad et al., 2015)"
"(Hamarsheh et al., 2012)"
"(Hamel et al., 2011)"
"(Hamel et al., 2016)"
"(Hamill et al., 2017)"
"(Hamill et al., 2013)"
"(Hancock et al., 2005)"
"(Hanel et al., 2016)"
"(Hassan et al., 2009)"
"(Hern and ez et al., 2016)"
"(Herrera et al., 2015)"
"(Herrera & Castro, 2017)"
"(Herrera et al., 2005)"
"(Herrera et al., 2009)"
"(Heusser et al., 2010)"
"(Hirsch & Pantchev, 2008)"
"(Hodo et al., 2016)"
"(Hodo et al., 2019)"
"(Hodzic et al., 2018)"
"(Hofmann et al., 2019)"
"(Holl and  et al., 2004)"
"(Holmstad et al., 2003)"
"(Hopkins et al., 1998)"
"(Hopkins et al., 2019)"
"(Hosseininejad et al., 2012)"
"(Houk et al., 2010)"
"(Hubalek et al., 2003)"
"(Hussain et al., 2016)"
"(Hussain et al., 2016)"
"(Hussain et al., 2018)"
"(Isaac et al., 2016)"
"(Jabal-Uriel et al., Na)"
"(Jafari et al., 2013)"
"(Jaimes-Duenez et al., 2017)"
"(Jaimes-Duenez et al., 2017)"
"(Jakes et al., 2001)"
"(Jansen et al., 2018)"
"(Jiang et al., 2016)"
"(Jimenez-Coello et al., 2015)"
"(Jimenez-Coello et al., 2012)"
"(Jimenez-Coello et al., 2010)"
"(Jimenez-Coello et al., 2008)"
"(Juliao et al., 2007)"
"(Kaabi & Zhioua, 2018)"
"(Kalayou et al., 2011)"
"(Kame-Ngasse et al., 2018)"
"(Karakus et al., 2019)"
"(Karakus et al., 2015)"
"(Karbowiak et al., 2005)"
"(Karbowiak et al., 2009)"
"(Karbowiak et al., 2005)"
"(Kardjadj & Ben-Mahdi, 2019)"
"(Karimuribo et al., 2011)"
"(Karlsbakk, 2004)"
"(Karshima et al., 2016)"
"(Kassa et al., 2011)"
"(Kassahun et al., 2015)"
"(Katakweba et al., 2012)"
"(Kato et al., 2008)"
"(Kato et al., 2016)"
"(Kato et al., 2007)"
"(Kazimoto et al., Na)"
"(Keck & Dereuer, 2003)"
"(Kelly et al., 2018)"
"(Kenubih et al., 2015)"
"(Khan et al., 2018)"
"(Khanmohammadi et al., 2010)"
"(Khanmohammadi et al., 2010)"
"(Kidanemariam et al., 2002)"
"(Kilic et al., 2008)"
"(Kissinger et al., 2011)"
"(Kjos et al., 2008)"
"(Kocher et al., 2015)"
"(Koirala et al., 2004)"
"(Korner & Schmid-Hempel, 2005)"
"(Kouam et al., 2010)"
"(Kovalenko et al., 2011)"
"(Kozminsky et al., 2015)"
"(Kramm et al., 2017)"
"(Krone et al., 2001)"
"(Kubacka et al., Na)"
"(Kubi et al., 2007)"
"(Kundu et al., 2013)"
"(Laha & Sasmal, 2008)"
"(Lamattina et al., 2019)"
"(Lana et al., 2018)"
"(Laohasinnarong et al., 2015)"
"(Laohasinnarong et al., 2011)"
"(Laranjeira et al., 2014)"
"(Lardeux et al., 2016)"
"(Lashari et al., 2018)"
"(Latif et al., 2019)"
"(Lauricella et al., 2005)"
"(Leal et al., 2018)"
"(Leca et al., 2015)"
"(Ledesma et al., 2017)"
"(Lelisa et al., 2014)"
"(Lemma et al., 2017)"
"(Leontides et al., 2002)"
"(Leppert et al., 2008)"
"(Levy et al., 2006)"
"(Lima et al., 2013)"
"(Lima et al., 2012)"
"(Lima-Oliveira et al., 2020)"
"(Lins et al., 2018)"
"(Lisi et al., 2014)"
"(Lisulo et al., 2014)"
"(Liyanagunawardena et al., 2016)"
"(Lledo et al., 2015)"
"(Llorens-Picher et al., 2017)"
"(Lopes et al., 2017)"
"(Lopes et al., 2013)"
"(Lopes et al., Na)"
"(Lopes et al., 2014)"
"(Lopez et al., 2013)"
"(Lopez-Cespedes et al., 2013)"
"(Lopez-Cespedes et al., 2012)"
"(Machila et al., 2001)"
"(Maeda et al., 2012)"
"(Maffey et al., 2012)"
"(Magallon-Gastelum et al., 2006)"
"(Maganga et al., 2017)"
"(Magona et al., 2002)"
"(Maharana et al., 2019)"
"(Maharana et al., Na)"
"(Maharjan et al., 2006)"
"(Mahmoudv and  et al., 2011)"
"(Maia et al., 2016)"
"(Maia et al., 2015)"
"(Maia et al., 2010)"
"(Maia et al., 2014)"
"(Maia et al., 2015)"
"(Majekodunmi et al., 2013)"
"(Malele et al., 2011)"
"(Malele et al., 2003)"
"(Malfi & Roulston, 2014)"
"(Maloney et al., 2010)"
"(Maloo et al., 2001)"
"(Mamoudou et al., 2016)"
"(Mamoudou et al., 2006)"
"(Mancianti et al., 1994)"
"(Manlik et al., 2017)"
"(Manzillo et al., 2018)"
"(Marcelino et al., 2011)"
"(Marenzoni et al., 2018)"
"(Margonari et al., 2010)"
"(Marti et al., 2009)"
"(Martin-Sanchez et al., 2007)"
"(Martin-Sanchez et al., 2006)"
"(Martinez-Hern and ez et al., 2014)"
"(Martins et al., 2018)"
"(Mascolli et al., 2016)"
"(Masiga et al., 2002)"
"(Maslov et al., 2013)"
"(Maslov et al., 2007)"
"(Matete, 2003)"
"(Mattioli et al., 2001)"
"(Maziero et al., 2014)"
"(McHugh et al., 2016)"
"(Medina-Torres et al., 2010)"
"(Medkour et al., 2019)"
"(Medkour et al., 2019)"
"(Mejia-Jaramillo et al., 2014)"
"(Mekata et al., 2008)"
"(Mekata et al., 2009)"
"(Mekibib et al., 2010)"
"(Mekonnen et al., 2014)"
"(Mekuria et al., 2010)"
"(Melo et al., 2011)"
"(Melo et al., 2018)"
"(Menail et al., 2016)"
"(Mendes et al., 2013)"
"(Menezes et al., 2015)"
"(Merzlyak et al., 2001)"
"(Meyers et al., 2017)"
"(Michalsky et al., 2011)"
"(Mihret & Mamo, 2007)"
"(Millan, 2018)"
"(Mir and a et al., 2002)"
"(Miro et al., 2011)"
"(Miro et al., 2007)"
"(Mirzaei et al., 2011)"
"(Mochabo et al., 2005)"
"(Moemenbellah-Fard et al., 2003)"
"(Mohebali et al., 2005)"
"(Molina et al., 2000)"
"(Molina et al., 2016)"
"(Molina-Garza et al., 2007)"
"(Monroy et al., 2003)"
"(Monteiro et al., 2005)"
"(Montenegro et al., 2002)"
"(Moradi-Asl et al., 2019)"
"(Morales et al., 2017)"
"(Morelli et al., 2019)"
"(Moreno et al., 2014)"
"(Moreno et al., 2010)"
"(Moretti et al., 2011)"
"(Morganti et al., 2019)"
"(Morimoto et al., 2013)"
"(Mossaad et al., 2017)"
"(Mossaad et al., 2017)"
"(Motazedian et al., 2010)"
"(Moudy et al., 2014)"
"(Mouloua et al., 2017)"
"(Movilla et al., 2017)"
"(Moya et al., 2017)"
"(Mrljak et al., 2017)"
"(Msangi et al., 1998)"
"(Muhanguzi et al., 2017)"
"(Muhanguzi et al., 2014)"
"(Muhanguzi et al., 2014)"
"(Mukhtar et al., 2000)"
"(Murphy et al., 2019)"
"(Murray et al., 2013)"
"(N’Djetchi et al., Na)"
"(Nadeem et al., 2011)"
"(Nair et al., 2011)"
"(Nakayima et al., 2012)"
"(Nardoni et al., 2019)"
"(Nardoni et al., 2012)"
"(Naucke et al., 2011)"
"(Navea-Perez et al., 2015)"
"(Ndoutamia et al., 1999)"
"(Nejjar et al., 1998)"
"(Ngaira et al., 2002)"
"(Ngaira et al., 2003)"
"(Ngomtcho et al., 2017)"
"(Ngonyoka et al., 2017)"
"(Nguema et al., 2019)"
"(Nguema et al., 2016)"
"(Nguyen et al., 2013)"
"(Nguyen et al., 2015)"
"(Nichols et al., 2019)"
"(Nimpaye et al., 2011)"
"(Njiokou et al., 2010)"
"(Njiru et al., 2004)"
"(Noori et al., 2019)"
"(Northover et al., 2019)"
"(Nunes et al., 2016)"
"(Nurcahyo et al., 2019)"
"(Oakgrove et al., 2014)"
"(Ocampo et al., 2012)"
"(Odeniran et al., 2019)"
"(Odeniran et al., 2019)"
"(Odongo et al., 2016)"
"(Ohaga et al., 2007)"
"(Oleaga et al., 2018)"
"(Oliveira et al., 2005)"
"(Oliveira et al., 2015)"
"(Oliveira et al., 2009)"
"(Oliveira et al., 2016)"
"(Oliveira-Pereira et al., 2006)"
"(Onyekwelu et al., 2017)"
"(Opara et al., 2008)"
"(Orantes et al., 2018)"
"(Orozco et al., 2016)"
"(Oshaghi et al., 2009)"
"(Otranto et al., 2017)"
"(Otranto et al., Na)"
"(Otterstatter & Thomson, 2008)"
"(Oura et al., 2003)"
"(Owens et al., 2001)"
"(Oyieke, 2003)"
"(Ozbel et al., 2000)"
"(Padilla et al., 2002)"
"(Paige et al., 2002)"
"(Paiz et al., 2015)"
"(Palangar et al., 2017)"
"(Panti-May et al., 2017)"
"(Paoletta et al., 2018)"
"(Papadopoulou et al., 2005)"
"(Papatsiros et al., 2016)"
"(Paradies et al., 2006)"
"(Parashar et al., 2018)"
"(Parrado et al., 2011)"
"(Parsche & Lattorff, 2018)"
"(Parvizi et al., 2013)"
"(Pasa et al., 2015)"
"(Pasos-Pinto et al., Na)"
"(Paternina-Gomez et al., 2013)"
"(Paz et al., 2010)"
"(Pereira et al., 2019)"
"(Pereira et al., 2015)"
"(Pereira et al., 2018)"
"(Perez et al., 2016)"
"(Piantedosi et al., 2016)"
"(Pineda et al., 2011)"
"(Pinto et al., 2006)"
"(Pinto et al., 2015)"
"(Plischuk et al., 2017)"
"(Plischuk & Lange, 2009)"
"(Podlipaev et al., 2004)"
"(Popp et al., 2012)"
"(Prados et al., 2018)"
"(Praet et al., 2018)"
"(Qiu et al., 2019)"
"(Quintal et al., 2011)"
"(Rami et al., 2003)"
"(Ramirez et al., 2002)"
"(Ramsey et al., 2012)"
"(Rangel et al., 2019)"
"(Rassi et al., 2007)"
"(Ravel et al., 2015)"
"(Ravoet et al., 2015)"
"(Razzaghi Maensh et al., 2012)"
"(Readel & Goldberg, 2010)"
"(Reid & Copeman, 2000)"
"(Reithinger et al., 2003)"
"(Reithinger et al., 2000)"
"(Resadore et al., Na)"
"(Ribeiro et al., 2014)"
"(Riboldi et al., 2018)"
"(Ricardo-Silva et al., 2012)"
"(Rocha et al., 2019)"
"(Rocha et al., 2018)"
"(Rodrigues et al., 2014)"
"(Rodrigues et al., 2019)"
"(Rodrigues et al., 2019)"
"(Rodriguez et al., 2012)"
"(Rodriguez et al., 2013)"
"(Rodriguez & Matta, 2001)"
"(Rodríguez-Ruano et al., Na)"
"(Rohousova et al., 2015)"
"(Rondon et al., 2008)"
"(Rosa et al., 2012)"
"(Rossi et al., 2008)"
"(Rosypal et al., 2007)"
"(Rosypal et al., 2010)"
"(Rosypal et al., 2014)"
"(Rosypal et al., 2010)"
"(Rovirosa-Hern and ez et al., 2013)"
"(Rowl and  et al., 2010)"
"(Rowl and s et al., 2001)"
"(Rowl and s et al., Na)"
"(Ruiz et al., 2015)"
"(Ruiz et al., 2015)"
"(Ruiz-Gonzalez & Brown, 2006)"
"(Ruiz-Pina & Cruz-Reyes, 2002)"
"(Runckel et al., 2011)"
"(Saghafipour et al., 2017)"
"(Salamanca-Carreno et al., 2018)"
"(Salathé et al., 2012)"
"(Saldana et al., 2015)"
"(Saldaña et al., 2018)"
"(Salim et al., 2011)"
"(Salim et al., 2014)"
"(Sallemi et al., 2018)"
"(Salomón et al., Na)"
"(Salvatore et al., 2014)"
"(Salzer et al., 2016)"
"(Sanchez et al., 1996)"
"(Santaella et al., 2011)"
"(Santi et al., 2014)"
"(Santos et al., 2017)"
"(Santos et al., 2013)"
"(Saraiva et al., 2017)"
"(Sarquis et al., 2004)"
"(Sarquis et al., 2012)"
"(Sartor et al., 2013)"
"(Sastre et al., 2008)"
"(Sato et al., 2008)"
"(Sauda et al., 2018)"
"(Savage et al., 2009)"
"(Savani et al., 1999)"
"(Sazm and  et al., 2016)"
"(Scheuerlein & Ricklefs, 2004)"
"(Schmid-Hempel & Funk, 2004)"
"(Schoener et al., 2018)"
"(Schultz et al., 2010)"
"(Sebaio et al., 2012)"
"(Sebaio et al., 2010)"
"(Seck et al., 2010)"
"(Sehgal et al., 2001)"
"(Sehgal et al., 2001)"
"(Selby et al., 2013)"
"(Selmi et al., 2019)"
"(Semiaosantos et al., 1995)"
"(Sengupta et al., 2016)"
"(Shadomy et al., 2004)"
"(Shafiyyah et al., 2012)"
"(Shahzad et al., 2010)"
"(Shang et al., 2011)"
"(Sharbatkhori et al., 2014)"
"(Sharma et al., 2015)"
"(Sharma et al., 2013)"
"(Sharma et al., 2011)"
"(Sharma et al., 2012)"
"(Sheferaw et al., 2016)"
"(Shender et al., 2014)"
"(Shereni et al., 2016)"
"(Sherry et al., 2011)"
"(Sigauque et al., 2000)"
"(Silaghi et al., 2014)"
"(Silbermayr et al., 2013)"
"(Silva et al., 2017)"
"(Silva et al., 2016)"
"(Silva et al., 2018)"
"(Silva et al., 2014)"
"(Silva-Sánchez et al., 2016)"
"(Silveira et al., 2012)"
"(Simo et al., 2014)"
"(Simo et al., 2014)"
"(Simo et al., 2012)"
"(Simo et al., 2013)"
"(Simukoko et al., 2007)"
"(Simwango et al., 2017)"
"(Singh et al., 2017)"
"(Singh et al., 2004)"
"(Sinpoo et al., 2019)"
"(Sinshaw et al., 2006)"
"(Snak et al., 2018)"
"(Sobia et al., 2018)"
"(Sobrino et al., 2008)"
"(Solano et al., 1999)"
"(Solano-Gallego et al., 2006)"
"(Solano-Gallego et al., 2001)"
"(Solano-Gallego et al., 2012)"
"(Solca et al., 2014)"
"(Soltani et al., 2019)"
"(Sosa-Gomez et al., 2005)"
"(Sousa et al., 2011)"
"(Sousa et al., 2019)"
"(Souza, 2008)"
"(Souza et al., 2009)"
"(Sow et al., 2013)"
"(Sow et al., 2012)"
"(Spada et al., 2016)"
"(Specht, 2008)"
"(Spodareva et al., Na)"
"(Stevanovic et al., 2016)"
"(Suh et al., 2017)"
"(Sumbria et al., 2017)"
"(Sumbria et al., 2014)"
"(Sun et al., 2012)"
"(Svobodova et al., 2015)"
"(Svobodova et al., 2015)"
"(Szpeiter et al., Na)"
"(Tabar et al., 2008)"
"(Tabar et al., 2009)"
"(Tabar et al., 2008)"
"(Tadesse & Tsegaye, 2010)"
"(Tafese et al., 2012)"
"(Tagueu et al., 2018)"
"(Takeet et al., 2013)"
"(Tamay-Segovia et al., 2017)"
"(Tanczos et al., 2012)"
"(Tarello, 2005)"
"(Tasew & Duguma, 2012)"
"(Tatard et al., 2017)"
"(Tchamdja et al., 2017)"
"(Tehseen et al., 2017)"
"(Tehseen et al., 2015)"
"(Teixeira et al., 2001)"
"(Teixeira et al., 2016)"
"(Teles et al., Na)"
"(Telford & Forrester, 1991)"
"(Terefe et al., 2015)"
"(Thies et al., 2013)"
"(Thomaz-Soccol et al., 2009)"
"(Tiwary et al., 2012)"
"(Toepp et al., 2017)"
"(Tognazzo et al., 2012)"
"(Tomas-Perez et al., 2014)"
"(Tome et al., 2011)"
"(Tonelli et al., 2017)"
"(Tonelli et al., Na)"
"(Tono et al., 2015)"
"(Tortora et al., 2000)"
"(Töz et al., 2013)"
"(Toz et al., 2009)"
"(Trindade et al., 2015)"
"(Tripodi et al., 2014)"
"(Tripodi et al., 2018)"
"(Trueb et al., 2018)"
"(Tsakmakidis et al., 2017)"
"(Tuiran et al., 2016)"
"(Týč et al., 2013)"
"(Ul Hasan et al., 2006)"
"(Umeakuana et al., 2019)"
"(Umezawa et al., 2009)"
"(Utuk et al., 2018)"
"(Valadas et al., 2010)"
"(Valdivia et al., 2012)"
"(Valera et al., 2017)"
"(Valkiunas & Iezhova, 2001)"
"(Valkiunas et al., 2004)"
"(Valkiunas et al., 2011)"
"(Valkiunas et al., 2001)"
"(Valkiunas et al., 2003)"
"(Valkiunas et al., 2005)"
"(V and erplanck et al., Na)"
"(Vargas et al., 2017)"
"(Vasquez et al., 2013)"
"(Velo et al., 2017)"
"(Vidal-Acosta et al., 2000)"
"(Villagran et al., 2008)"
