year,study_ID,Column1,year_of_collection ,continent ,country,latitude,longitude,hs1,hs,IS03,Order,host_species1,host_species,host1,host,dm,dignostic_method,genus,Tryp_species1,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,settings,study_type,notes,all_type,all_type2,md,insec1,insec,sm
,"(Amiri Ghannat Saman et al., 2019)",cited,,,Iran,,,,,IRN,,,,,flies,mol,PCR-RFLP and (PCR-ITS1),9,Leishmania_major,Leishmania_major,100,2,2,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6734542/,,,31517113,,,,2,Leishmania_spp.,dixenous_spp.,insects,1,sys
2004,"(Amusategui et al., 2004)",cited,1984,Europe,Spain,40°25’N,03°45’W,1,1,ESP,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,(IFA),9,Leishmania_infantum,Leishmania_infantum,479,18,3.7,15604485,18,461,0.037,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2011,"(Anderson et al., 2011)",cited,2006-2008,Africa,Mali,12°34’N,07°55’W,1,1,MLI,Diptera,Phlebotomus duboscqi,P. duboscqi,flies,flies,mol,PCR,9,Leishmania_major,Leishmania_major,3706,252,6.7,21572984,252,3454,0.067,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2015,"(Angwech et al., 2015)",cited,2011-2012,Africa,Uganda,00°20’N,32°30’E,1,1,UGA,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR-ITS1 ,1,Trypanosoma_brucei,Trypanosoma_brucei_s.l,816,14,1.7,26449544,14,802,0.017,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Angwech et al., 2015)",cited,2011-2012,Africa,Uganda,00°20’N,32°30’E,1,1,UGA,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR-ITS1 ,1,Trypanosoma_congolense,Trypanosoma_congolense,816,54,6.6,26449544,54,762,0.066,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2015,"(Angwech et al., 2015)",cited,2011-2012,Africa,Uganda,00°20’N,32°30’E,1,1,UGA,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR-ITS1 ,1,Trypanosoma_vivax,Trypanosoma_vivax,816,260,32,26449544,260,556,0.32,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Antonio et al., 2011)",cited,,,Brazil,,,,,BRA,,,,dogs,dogs,sero,ELISA and IIF,9,Leishmania_spp.,Leishmania_spp.,63,29,46,,https://www.researchgate.net/publication/51076650_Canine_visceral_leishmaniasis_in_the_Krenak_indigenous_community_Resplendor_Minas_Gerais_State_Brazil_2007#fullTextFileContent,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Aragort et al., 2005)",cited,,,Spain,,,,,ESP,,,,animals,animals,micro,smears,,Trypanosoma_giganteum,Trypanosoma_giganteum,132,21,16,,https://www.researchgate.net/publication/7703613_Blood_protozoans_in_elasmobranchs_of_the_family_Rajidae_from_Galicia_NW_Spain#fullTextFileContent,,,16042044,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Arce-Fonseca et al., 2017)",cited,,,Mexico,,,,,MEX,,,,dogs,dogs,sero,(ELISA) ,5,Trypanosoma_cruzi,Trypanosoma_cruzi,180,8,4.4,,https://idpjournal.biomedcentral.com/articles/10.1186/s40249-017-0333-z,,,28870247,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
2016,"(Arismendi et al., 2016)",cited,2014-2015,South America,Chile,33°24’S,70°40’W,1,1,CHL,Hymenopterans,Apis_mellifera,Apis mellifera,bees (mono),bees,mol,PCR,Lotmaria_spp.,C.mellificae&L.passim,Lotmaria_passim,9450,6300,66.7,26721451,6300,3150,0.667,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
,"(Arjona et al., 2017)",ny,,,Mexico,,,,,MEX,,,,dogs,dogs,sero,ELISA and western blot,,Leishmania_mexicana,Leishmania_mexicana,119,11,9.24,,http://www.scielo.org.co/pdf/mvz/v22n2/0122-0268-mvz-22-02-05829.pdf,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Arjona et al., 2017)",ny,,,Mexico,,,,,MEX,,,,dogs,dogs,sero,ELISA and western blot,9,Leishmania_braziliensis,Leishmania_braziliensis,119,20,10.08,,http://www.scielo.org.co/pdf/mvz/v22n2/0122-0268-mvz-22-02-05829.pdf,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Arjona et al., 2017)",ny,"{Diakou, 2009 #2432}",,Mexico,,,,,MEX,,,,dogs,dogs,sero,ELISA and western blot,5,Trypanosoma_cruzi,Trypanosoma_cruzi,119,4,3.36,,http://www.scielo.org.co/pdf/mvz/v22n2/0122-0268-mvz-22-02-05829.pdf,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Aslantas et al., 2005)",cited,,Asia,Turkey,,,,,TUR,,,,dogs,dogs,sero, (MAT) and (IFAT),9,Leishmania_infantum,Leishmania_infantum,116,3,2.58,,https://www.sciencedirect.com/science/article/pii/S030440170500052X?via%3Dihub,,,15845273,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2013,"(Astudillo et al., 2013)",cited,2010-2011,North America,United States,39°91’N,77°02’W,1,1,USA,Passeriformes,"Acadian Flycatcher, American Goldfinch, American Robin, Brown Thrasher, Eastern Bluebird, Gray Catbird. ","Acadian Flycatcher, American Goldfinch, American Robin, Brown Thrasher, Eastern Bluebird, Gray Catbird. ",birds,birds,sero,PCV,1,Trypanosoma_spp.,Trypanosoma__spp.,786,16,2,24533333,16,770,0.02,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2003,"(Atarhouch et al., 2003)",cited,1997-1998,Africa,Morocco,31.7917° N,7.0926° W,1,1,MAR,Artiodactyla,Camelus dromedarius ,Camelus dromedarius ,camels,camels,sero,avar((CATT) and  (Ab-ELISA) ),1,Trypanosoma_evansi,Trypanosoma_evansi,1460,241,16.2,12559707,241,1219,0.162,,,cross_sectional ,avar(ELISA and CATT),1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Athanasiou et al., 2012)",cited,NA,Europe,Greece,37°58’N,23°46’E,1,1,GRC,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,agreement: ELISA and IFAT,9,Leishmania_infantum,Leishmania_infantum,2620,509,19.43,22366671,509,2111,0.1943,,,cross_sectional ,agreement: ELISA and IFAT,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(Attipa et al., 2017)",cited,,,Cyprus,,,,,CYP,,,,cats,cats,mol,qPCR and PCR,9,Leishmania_infantum,Leishmania_infantum,174,4,2.3,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5346881/,,,28285597,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Austen et al., 2015)",cited,,,Australia,,,,,AUS,,,,bats,bats,mol,PCR,,Trypanosoma_vegrandis,Trypanosoma_vegrandis,22,18,81.8,,https://www.sciencedirect.com/science/article/pii/S0304401715300546?via%3Dihub#fig0005,,,26541211,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Azeem et al., 2019)",cited,,,Pakistan,,,,,PAK,,,,camels,camels,micro,"N	A",1,Trypanosoma_spp.,Trypanosoma_spp.,200,64,32.5,,https://www.researchgate.net/publication/331183900_Hematobiochemical_Disorder_in_Camels_Suffering_from_different_Hemoparasites,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Azpurua et al., 2010)",cited,,,Panama,,,,,PAN,,,,,flies,mol,PCR-ITS1 and sequencing,9,Leishmania_spp.,Leishmania_spp.,54,49,90.7,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2834748/#!po=41.6667,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,insects,1,sys
2014,"(Babuadze et al., 2014)",cited,2011-2012,"Asia, Europe",Georgia,41°43’N,44°50’E,1,1,GEO,Diptera,Phlebotomus halepensis,P. (Adlerius) halepensis,flies,flies,micro,"microscopic	examination",9,Leishmania_spp.,Leishmania_spp.,76,1,1.3,24603768,1,75,0.013,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2014,"(Babuadze et al., 2014)",cited,2011-2012,"Asia, Europe",Georgia,41°43’N,44°50’E,1,1,GEO,Diptera,Phlebotomus balcanicus,P.(Adlerius) balcanicus,flies,flies,micro,"microscopic	examination",9,Leishmania_spp.,Leishmania_spp.,99,2,2,24603768,2,97,0.02,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2014,"(Babuadze et al., 2014)",cited,2011-2012,"Asia, Europe",Georgia,41°43’N,44°50’E,1,1,GEO,Diptera,Phlebotomus  kandelakii,P.(Larroussius) kandelakii,flies,flies,micro,"microscopic	examination",9,Leishmania_spp.,Leishmania_spp.,163,9,5.5,24603768,9,154,0.055,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2014,"(Babuadze et al., 2014)",cited,2011-2012,"Asia, Europe",Georgia,41°43’N,44°50’E,1,1,GEO,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,rapid commercial tests and microscopic examination ,9,Leishmania_spp.,Leishmania_spp.,1571,302,19.2,24603768,302,1269,0.192,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Bacigalupo et al., 2010)",cited,,South America,Chile,,,,,CHL,,T. infestans ,True bug,truebugs,truebugs,mol,PCR,5,Trypanosoma_cruzi,Trypanosoma_cruzi,52,19,36.54,K14,19,33,0.3654,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2001,"(Bajer et al., 2001)",cited,1997-1990,Europe,Poland,52°13’N,21°00’E,1,1,POL,Rodentia,Clethrionomys glareolus,Clethrionomys glareolus,rodents,rodents,micro,"microscopic	examination",,Trypanosoma_evotomys,Trypanosoma_evotomys,420,63,15,11197763,63,357,0.15,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Bakirci et al., 2016)",cited,,Asia,Turkey,,,,,TUR,,,,dogs ,dogs,sero,IFAT and (PCR and RT-PCR),9,Leishmania_infantum,Leishmania_infantum,191,10,5.235602094,,https://www.researchgate.net/publication/309657950_Molecular_and_seroprevalence_of_canine_visceral_leishmaniasis_in_West_Anatolia_Turkey,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Bamorovat et al., 2014)",cited,,,Iran,,,,,IRN,,,,dogs,dogs,sero,(DAT) and (PCR),9,Leishmania_infantum,Leishmania_infantum,80,9,11.25,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4316565/,,,25678918,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2015,"(Bamorovat et al., 2015)",cited,,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,mol,PCR,9,Leishmania_tropica,Leishmania_tropica,471,2,0.42,26576349,2,469,0.0042,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(Bar & Wisnivesky-Colli, 2001)",cited,,,Argentina,,,,,ARG,,,,truebugs,truebugs,mol,PCR and  microscopic examination,5,Trypanosoma_cruzi,Trypanosoma_cruzi,174,67,38.5,,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762001000700002#mat,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
,"(Barbosa et al., 2016)",cited,,,Australia,,,,,AUS,,,,animals,animals,mol,PCR and  nested PCR,,Trypanosoma_vegrandis,Trypanosoma_vegrandis,44,6,13.6,,https://www.sciencedirect.com/science/article/pii/S1383576916300228?via=ihub,,,26970295,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Barbosa et al., 2017 A)",cited,,,Australia,,,,,AUS,,,,animals,animals,mol,PCR,1,Trypanosoma_spp.,Trypanosoma_spp.,167,4,2.395209581,,https://reader.elsevier.com/reader/sd/pii/S0304401717301401?token=E683694F1DB79E979ABC794989CAF37A808C88DA99F5FDB5C7DCD5896CB963D92BFCFDE1891A8836F3526568B86D067D,,,28408215,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Barbosa et al., 2017)",cited,,,Australia,,,,,AUS,,,,ticks,animals,mol,PCR and NGS,1,Trypanosoma_spp.,Trypanosoma_spp.,91,23,25.27,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0181279,,,28704541,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Barbosa et al., 2017)",cited,,,Australia,,,,,AUS,,,,animals,animals,mol,PCR and NGS,1,Trypanosoma_spp.,Trypanosoma_spp.,168,54,32.2,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0181279,,,28704541,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Barnard et al., 2010)",cited,,,USA,,,,,USA,,,,birds,birds,micro,MAT,1,Trypanosoma_spp.,Trypanosoma_spp.,43,2,4.651162791,,,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Barroso et al., 2015)",ny,,,Argentina,,,,,ARG,,,,dogs,dogs,mol,PCR,9,Leishmania_infantum,Leishmania_infantum,77,10,13,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4530757/,,,26055744,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2001,"(Batistoti et al., 2001)",cited,1983 to 1996 ,Africa,Namibia,22°35’S,17°04’E,1,2,NAM,Diptera,Veneza zonat,"Veneza zonat, Phtia picta, Teognis sp., Pachibrachius bilobata, Nezara viridula, Euchistus herus, Piezodorus guildini.",flies,flies,micro,microscopic examination,,Trypanosomatidae_spp.,Trypanosomatidae_spp.,402,228,56.7,11780818,228,174,0.567,,,cross_sectional ,Crithidia spp. And  Phytomonas and some Leptomonas sp,7,Trypanosomatidae_spp.,Trypanosomatidae_spp.,insects,1,meta
