year,study_ID,year_of_collection ,continent ,country,latitude,longitude,sociality,life expectency,IS03,Order,host_species2,host_species12,host_species,host1,host,dm,dignostic_method,genus1,genus2,genus,Tryp_species,Tryp_species12,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,settings,study_type,Column1,notes,all_type,all_type2,md,insec1,insec,sm
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Ovis aries,Ovis aries,Sheep,Sheep,mol,PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_bucei_s.l,192,8,4.17,10,8,184,0.0417,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR ,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_forest,87,9,10.3,10,9,78,0.103,,,cross_sectional ,,not very clear breakdown ofTrypanosoma infections,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Capra hircus,Capra hircus,goats,goats,mol,PCR ,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_forest,136,5,3.68,10,5,131,0.0368,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Ovis aries,Ovis aries,Sheep,Sheep,mol,PCR ,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_forest,192,9,4.69,10,9,183,0.0469,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR ,,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,87,3,3.4,10,3,84,0.034,,,cross_sectional ,,not very clear breakdown ofTrypanosoma infections,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Capra hircus,Capra hircus,goats,goats,mol,PCR ,,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,136,1,0.7,10,1,135,0.007,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Kassi N’Djetchi et al., 2017)",2013,Africa,Ivory Coast,7.5400° N,5.5471° W,social ,9 to 40,CAF,Artiodactyla,,Ovis aries,Ovis aries,Sheep,Sheep,mol,PCR ,,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,192,9,4.69,10,9,183,0.0469,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Katakweba et al., 2012)",2007-2009,Africa,"Namibia, Tanzania, switzerland",22°35’S,17°04’E,1,2,CHE,Rodentia,,Graphiurus cf. murinus,"Graphiurus cf. murinus, Gerbilliscus vicinus, Crocidura hirta, Rattus rattus, Mastomys natalensis.",rodents,rodents,micro,"microscopic	examination",,,,Trypanosoma_lewisi,Trypanosoma_lewisi,Trypanosoma_lewisi,950,216,22.7,11,216,734,0.227,,,cross_sectional ,,bees,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2008,"(Opara et al., 2008)",2005-2006,Africa,Nigeria,09°05’N,07°32’E,1,1,NGA,Rodentia,,Thryonomys swinderianus,Thryonomys swinderianus,rodents,rodents,micro,"microscopic	examination",,1,1,Trypanosoma_spp.,Trypanosoma_spp.,Trypanosoma_spp.,1000,100,10,12,100,900,0.1,,,cross_sectional ,,bees,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Dorn et al., 2012)",2003 to 2004,"Asia, North Amarica, Europe","Georgia, United States",41°43’N,44°50’E,2,2,"GEO, USA",animals,,Macaca nemestrina,"M. nemestrina, M. mulatta, Papio spp.",animals,animals,sero,rapid commercial tests and microscopic examination ,,1,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,2157,34,2.4,13,34,2123,0.024,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Tiwary et al., 2012)",2009,Asia,India,28°37’N,77°13’E,1,1,IND,Diptera,,Phlebotomus argentipes ,P. argentipes ,flies,flies,mol, PCR ,,1,9,Leishmania_donovani,Leishmania_donovani,Leishmania_donovani,449,73,16.3,15,73,376,0.163,,houses ,cross_sectional ,VL,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2012,"(Hosseininejad et al., 2012)",2007-2009,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero," direct agglutination test, DAT ",,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,548,53,9.67,16,53,495,0.0967,,stray and owned,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2013,"(Akhoundi et al., 2013)",2010,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,,Phlebotomus papatasi,P. papatasi,flies,flies,mol,PCR and ITS2 partial sequencing,,1,9,Leishmania_major,Leishmania_major,Leishmania_major,151,9,6,17,9,142,0.06,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2013,"(Akhoundi et al., 2013)",2010,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,,Phlebotomus caucasicus,P. caucasicus,flies,flies,mol,PCR and ITS2 partial sequencing,,1,9,Leishmania_major,Leishmania_major,Leishmania_major,60,3,5,17,3,57,0.05,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2013,"(Akhoundi et al., 2013)",2010,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,,Phlebotomus sergenti,P. sergenti,flies,flies,mol,PCR and ITS2 partial sequencing,,1,9,Leishmania_tropica,Leishmania_tropica,Leishmania_tropica,90,1,1.1,17,1,89,0.011,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2009,"(Bhattarai et al., 2009)",2006—2007,"Asia, Europe",Nepal,27°45’N,85°20’E,1,1,NPL,Diptera,,Phlebotomus argentipes,P. argentipes,flies,flies,mol, PCR ,,1,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,996,40,4,18,40,956,0.04,,,cross_sectional ,,pools converted tp flies,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2009,"(Bhattarai et al., 2009)",2006—2007,Asia,Nepal,27°45’N,85°20’E,1,1,NPL,Diptera,,Phlebotomus argentipes,P. argentipes,flies,flies,mol, PCR ,,1,,Trypanosomatidae_spp.,Trypanosomatidae_spp.,Trypanosomatidae_spp.,996,16,1.6,18,16,980,0.016,,,cross_sectional ,,"Endotrypanum spp(dix)., Leptomonas costaricensis, Sauroleishmania tarento- lae or trypanosomatids",7,Trypanosomatidae_spp.,Trypanosomatidae_spp.,insects,1,meta
2018,"(Khan et al., 2018)",NA,Asia,Pakistan,33°40’N,73°10’E,1,1,PAK,Perissodactyla,,Equus asinus,Equus asinus,equids,equids,mol,PCR,,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,657,58,8.83,19,58,599,0.0883,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2019,"(Alarabi et al., 2019)",2005,Asia,Saudi Arabia,24°41’N,46°42’E,1,1,SAU,Artiodactyla,,Camelus dromedarius ,Camelus dromedarius ,camels,camels,mol,PCR,,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,679,210,30.9,20,210,469,0.309,,,cross_sectional ,,short coomunication ,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Can et al., 2016)",NA,Asia,Turkey,39°57’N,32°54’E,1,1,TUR,Carnivora,,Felis catus,Felis catus,cats,cats,mol,PCR,,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,1101,1,0.09,21,1,1100,0.0009,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2016,"(Can et al., 2016)",NA,Asia,Turkey,39°57’N,32°54’E,1,1,TUR,Carnivora,,Felis catus,Felis catus,cats,cats,mol,PCR,,1,9,Leishmania_tropica,Leishmania_tropica,Leishmania_tropica,1101,6,0.54,21,6,1095,0.0054,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Singh et al., 2017)",2013-2014,Asia,India,28°37’N,77°13’E,1,1,IND,Artiodactyla,,Bubalus bubalis,Bubalus bubalis,buffaloes,buffaloes,sero,TE-LAT,,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,890,463,18.6,22,463,427,0.186,,,cross_sectional ,,among suspected,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2009,"(Desquesnes et al., 2009)",NA,Europe,"France, Thailand",48°50’N,02°20’E,1,1,THA,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,sero, ELISA,,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,1979,163,8.2,23,163,1816,0.082,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Otranto et al., 2017)",2015-2016,Europe,"Greece, spain",37°58’N,23°46’E,1,1,ESP,Carnivora,,Felis catus,Felis catus,cats,cats,sero," IFAT, IFA ",,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,330,85,25.8,25,85,245,0.258,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2017,"(Otranto et al., 2017)",2015-2016,Europe,"Greece, spain",37°58’N,23°46’E,1,1,GRC,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero," IFAT, IFA ",,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,263,13,4.9,25,13,250,0.049,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2019,"(Gizzarelli et al., 2019)",2017-2018,Europe,Italy,41°54’N,12°29’E,1,1,ITA,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,IFAT,,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,716,72,10.2,26,72,644,0.102,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Cortes et al., 2012)",2009,Europe,Portugal,38°42’N,09°10’W,1,1,PRT,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,DAT,,1,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,3974,251,6.31,27,251,3723,0.0631,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2013,"(Whitehorn et al., 2013)",2010,Europe,United Kingdom,55.3781° N,3.4360° W,1,1,GBR,Hymenopterans,terrestris,Bombus_terrestris,"B. terrestris, B. pascuorum, B. pratorum, B. lapidarius. ",bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,946,311,39.22,28,311,635,0.3922,WM,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(nan et al., 2006)",2001 and 2003,Europe,Slovakia,48°10’N,17°07’E,1,1,SVK,Passeriformes,Bombus_fervidus,Prunella modularis ,Prunella modularis ,birds,birds,micro,"microscopic	examination",,1,1,Trypanosoma_spp.,Trypanosoma_spp.,Trypanosoma__spp.,595,2,0.3,29,2,593,0.003,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2012,"(Rodriguez et al., 2012)",NA,Europe,Spain,40°25’N,03°45’W,1,2,ESP,Artiodactyla,Bombus_rufocinctus,Bos taurus,"Bos taurus, Ovis aries",animals,animals,sero,CATT,,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,1228,61,5,30,61,1167,0.05,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2013,"(Voty ́pka et al., 2013)",2005 and 2009,Europe,Czech Republic,50°05’N,14°22’E,1,2,CZE,Siphonaptera,Bombus_borealis,Monopsyllus sciurorum,"Monopsyllus sciurorum , Chaetopsylla globiceps, Ctenocephalides felis, Nosopsyllus fasciatus, Ctenophthalmus agyrtes, Ctenocephalides canis, Chaetopsylla globiceps, Pulex irritans, Nycteridopsylla eusarca, Pulex simulans.",fleas,fleas,micro, cultures ,,1,,Trypanosomatidae_spp.,Trypanosomatidae_spp.,Trypanosomatidae_spp.,1549,239,15.43,33,239,1310,0.1543,,,cross_sectional ,,"Trypanosomatids  and Herpetomonas nabiculae, Herpetomonas sp., leptomonas cf. tenua, Blechomonas pulexsimulantis, Blechomonas ayalai, Blechomonas maslovi, Blechomonas campbelli, Blechomonas keelingi, Blechomonas englundi, Blechomonas lauriereadi, Blechomonas wendygibsoni, Blechomonas luni, Blechomonas danrayi.",7,Trypanosomatidae_spp.,Trypanosomatidae_spp.,insects,1,meta
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,fervidus,Bombus_fervidus,B. fervidus,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,50,3,5.3,34,3,47,0.053,WM,,cross_sectional ,,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,rufocinctus,Bombus_rufocinctus,B. rufocinctus ,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,55,41,75,34,41,14,0.75,WM,,cross_sectional ,,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,borealis,Bombus_borealis,"B. borealis, B. pennsylvanicus, B. perplexus, B. sandersoni, B. terricola, B. vagans ",bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,83,9,11.1,34,9,74,0.111,WM,,cross_sectional ,,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,griseocollis,Bombus_griseocollis,B. griseocollis,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,98,10,10.2,34,10,88,0.102,WM,,cross_sectional ,,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,bimaculatus,Bombus_bimaculatus,B. bimaculatus ,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,130,11,8.7,34,11,119,0.087,WM,,cross_sectional ,,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,impatiens,Bombus_impatiens,B. impatiens ,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,212,53,25,34,53,159,0.25,WM,,cross_sectional ,,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,auricomus,Bombus_auricomus,B. auricomus,bees (mono),bees,micro,visual detection/microscopinc,Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,28,1,3.6,35,1,27,0.036,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,perplexus,Bombus_perplexus,B. perplexus,bees (mono),bees,micro,visual detection/microscopinc,Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,32,6,1.9,35,6,26,0.019,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,fervidus,Bombus_fervidus,B. fervidus,bees (mono),bees,micro,visual detection/microscopinc,Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,46,2,4.3,35,2,44,0.043,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,bimaculatus,Bombus_bimaculatus,B. bimaculatus,bees (mono),bees,micro,visual detection/microscopinc,Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,151,44,29.1,35,44,107,0.291,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,impatiens,Bombus_impatiens,B. impatiens,bees (mono),bees,micro,visual detection/microscopinc,Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,259,28,10.8,35,28,231,0.108,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2014,"(Malfi & Roulston, 2014)",2011,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,griseocollis,Bombus_griseocollis,B. griseocollis,bees (mono),bees,micro,visual detection/microscopinc,Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,319,65,20.3,35,65,254,0.203,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2019,"(Williams et al., 2019)",2004-2015,north America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Apis_mellifera,Apis_mellifera,Apis mellifera L.,bees (mono),bees,mol, PCR ,Apis_spp.,1,Lotmaria_spp.,Lotmaria_passim,Lotmaria_passim,Lotmaria_passim,1360,144,11,36,144,1216,0.11,W,,cross_sectional ,,wild and managed,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2016,"(Teles et al., 2016)",2009-2010,South America,"Bolivia, Brazil, Peru",16°20’S,68°10’W,2,2,PER,Diptera,,Lutzomyia auraensis/Lu. ruifreitasi ,Lutzomyia auraensis/Lu. ruifreitasi ,flies,flies,mol,PCR,,1,9,Leishmania_braziliensis,Leishmania_braziliensis,Leishmania_braziliensis,1026,18,2,37,18,1008,0.02,,sylvatic ,cross_sectional ,cl,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2016,"(Teles et al., 2016)",2009-2010,South America,"Bolivia, Brazil, Peru",16°20’S,68°10’W,2,2,PER,Diptera,,Lutzomyia auraensis/Lu. ruifreitasi ,Lutzomyia auraensis/Lu. ruifreitasi ,flies,flies,mol,PCR,,1,,Leishmania_guyanensis,Leishmania_guyanensis,Leishmania_guyanensis,1026,53,5,37,53,973,0.05,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2016,"(Teles et al., 2016)",2009-2010,South America,"Bolivia, Brazil, Peru",16°20’S,68°10’W,2,2,PER,Diptera,,Lutzomyia davisi,Lutzomyia davisi,flies,flies,mol,PCR,,1,,Leishmania_guyanensis,Leishmania_guyanensis,Leishmania_guyanensis,853,58,6.8,37,58,795,0.068,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2016,"(Teles et al., 2016)",2009-2010,South America,"Bolivia, Brazil, Peru",16°20’S,68°10’W,2,2,PER,Diptera,,Lutzomyia auraensis/Lu. ruifreitasi ,Lutzomyia auraensis/Lu. ruifreitasi ,flies,flies,mol,PCR,,1,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,1026,71,7,37,71,955,0.07,,,cross_sectional ,,"Leishmania_guyanensis,_Leishmania_braziliensis_",2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2016,"(Teles et al., 2016)",2009-2010,South America,"Bolivia, Brazil, Peru",16°20’S,68°10’W,2,2,PER,Diptera,,Lutzomyia davisi,Lutzomyia davisi,flies,flies,mol,PCR,,1,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,853,10,1,37,10,843,0.01,,,cross_sectional ,,"Leishmania_guyanensis,_Leishmania_braziliensis_",2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2003,"(Fran‚àö√üa-Silva et al., 2003)",1994,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Bombus_flavifrons,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, IFAT,,1,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,7391,656,8.88,38,656,6735,0.0888,,,cross_sectional ,,IFAT,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2004,"(nan et al., 2004)",2000-2001,South America,Brazil,15°47’S,47°55’W,2,2,BRA,animals,Bombus_mixtus,,"Euphractus sp., Myotis sp., Carollia sp., Platyrrhinus sp., Artibeus sp., Monodelphis sp., Dasyprocta sp., Oecomys sp., Clyomys sp., Thrichomys sp., Buffalo, Cattle, Coati, Dog, 
Horse",animals,animals,mol,PCR,,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,1093,222,20.3,39,222,871,0.203,,,cross_sectional ,,pcr,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
