title,abstract
Trypanosome infections in cattle in farms of different departments in Cote d'Ivoire,"Animal African trypanosomiasis (AAT) remain one of the major constraints to the development of cattle breeding in sub-Saharan Africa. Parasitological and Entomological surveys of transversal nature were conducted in Cote d'Ivoire across 35 locations in 13 departments. Trypanosome infections in cattle, the abundance of tsetse flies and the correlation between trypanosome infections and abundance of tsetse flies in these localities were investigated. Thus, 1270 blood samples were taken at the auricular level and tsetse flies traps have been placed within the sites. The results revealed the presence of animal trypanosomiasis with 171 positive cattle with a prevalence of 13.5% in all sites. Three trypanosome species were identified with varying percentages: Trypanosoma vivax (82.5%), T. congolense (10.5%) and T. brucei (7%). At the entomological level, 2409 tsetse flies have been captured on all surveyed sites. The coefficient of correlation by Spearman gives the value r = 0.5 with a significance level p = 0. 07. On the threshold of 5%, there is no correlation between the prevalence of trypanosome infections and abundance of tsetse flies based on surveyed departments. These results show that the Savannah region is the most endemic AAT breeding area and for that reason, it will be chosen as a priority intervention area for control to the departments of Korhogo, Ferkessedougou, and Boundiali"
Hosts and vectors of Trypanosoma cruzi discrete typing units in the Chagas disease endemic region of the Paraguayan Chaco,"Active Trypanosoma cruzi transmission persists in the Gran Chaco region, which is considered hyperendemic for Chagas disease. Understanding domestic and sylvatic transmission cycles and therefore the relationship between vectors and mammalian hosts is crucial to designing and implementing improved effective control strategies. Here we describe the species of triatomine vectors and the sylvatic mammal reservoirs of T. cruzi, in different localities of the Paraguayan and Bolivian Chaco. We identify the T. cruzi genotypes discrete typing units (DTUs) and provide a map of their geographical distribution. A total of 1044 triatomines and 138 sylvatic mammals were captured. Five per cent of the triatomines were microscopically positive for T. cruzi (55 Triatoma infestans from Paraguay and one sylvatic Triatoma guasayana from Bolivia) and 17 animals (12.3%) comprising eight of 28 (28.5%) Dasypus novemcinctus, four of 27 (14.8%) Euphractus sexcinctus, three of 64 (4.7%) Chaetophractus spp. and two of 14 (14.3%) Didelphis albiventris. The most common DTU infecting domestic triatomine bugs was TcV (64%), followed by TcVI (28%), TcII (6.5%) and TcIII (1.5%). TcIII was overwhelmingly associated with armadillo species. We confirm the primary role of T. infestans in domestic transmission, armadillo species as the principal sylvatic hosts of TcIII, and consider the potential risk of TcIII as an agent of Chagas disease in the Chaco."
"Bovine trypanosomosis in the Upper West Region of Ghana: Entomological, parasitological and serological cross-sectional surveys","Baseline surveys were conducted in the Upper West Region of Ghana to assess the distribution and densities of tsetse species, as well as the prevalence of bovine trypanosomosis. The entomological survey was designed to cover the suitable tsetse habitats along the three main rivers in the study area (i.e. Black Volta, Kulpawn and Sissili). Results indicated the presence of Glossina tachinoides in all three river basins, whilst Glossina palpalis gambiensis was only found close to the southern limit of the study area. A random sampling of 1800 cattle of the West African Short Horn, Sanga and Zebu breeds from 36 randomly selected grid cells covering the study area showed substantial differences between parasitological and serological prevalences. The average parasitological prevalence was estimated at 2.5% (95% CI: 1.06-5.77) with the majority of the infections due to Trypanosoma vivax. Most of the infected cattle were found close to the major river systems. The serological prevalence, measured using Enzyme Linked Immunosorbent Assay (ELISA), test was 19% (95% CI: 14.03-25.35). Cattle with anti-trypanosomal antibodies were also found throughout the study area. (C) 2011 Elsevier Ltd. All rights reserved."
"The identification, diversity and prevalence of trypanosomes in field caught tsetse in Tanzania using ITS-1 primers and fluorescent fragment length barcoding","We report on the development of two generic, PCR-based methods, which replace the multiple species-specific PCR tests used previously to identify the trypanosome species carried by individual tsetse flies. The first method is based on interspecies size variation in the PCR product of the ITS-1 region of the ribosomal RNA (rRNA) locus. In the second approach, length variation of multiple fragments within the 18S and 28S rRNA genes is assayed by PCR amplification with fluorescent primers; products are subsequently sized accurately and rapidly by the use of an automated DNA sequencer. Both methods were used to identify samples collected during large-scale field studies of trypanosome-infected tsetse in Tanzania in the National Parks of Tarangire and Serengeti, and the coastal forest reserve of Msubugwe. The fluctuations of trypanosome prevalence over time and two different field seasons are discussed. As well as facilitating the identification of trypanosome species with increased speed, precision and sensitivity, these generic systems have enabled us to identify two new species of trypanosome. (C) 2007 Elsevier B.V. All rights reserved."
Estimation of Canine Leishmania Infection Prevalence in Six Cities of the Algerian Littoral Zone Using a Bayesian Approach,"A large-scale study on canine Leishmania infection (CanL) was conducted in six localities along a west-east transect in the Algerian littoral zone (Tlemcen, Mostaganem, Tipaza, Boumerdes, Bejaia, Jijel) and covering two sampling periods. In total 2,184 dogs were tested with an indirect fluorescent antibody test (IFAT) and a direct agglutination test (DAT). Combined multiple-testing and several statistical methods were compared to estimate the CanL true prevalence and tests characteristics (sensitivity and specificity). The Bayesian full model showed the best fit and yielded prevalence estimates between 11% (Mostaganem, first period) and 38% (Bejaia, second period). Sensitivity of IFAT varied (in function of locality) between 86% and 88% while its specificity varied between 65% and 87%. DAT was less sensitive than IFAT but showed a higher specificity (between 80% and 95% in function of locality or/and season). A general increasing trend of the CanL prevalence was noted from west to east. A concordance between the present results and the incidence of human cases of visceral leishmaniasis was observed, where also a maximum was recorded for Bejaia. The results of the present study highlight the dangers when using IFAT as a gold standard."
Canine leishmaniasis in Algeria: True prevalence and diagnostic test characteristics in groups of dogs of different functional type,"A Bayesian approach was used to assess the prevalence of Canine leishmaniasis and evaluate three serological diagnostic tests: indirect fluorescent antibody test (IFAT), direct agglutination test, and particle gel immuno-assay (PaGIA) for Canine leishmaniasis (CL) in Algiers. Four hundred and sixty-two dogs were involved in this study and divided in four groups according to their functional type: stray dogs, farm dogs, national guard dogs and pet dogs. The stray dog group showed the highest prevalence of leishmaniasis (11.7%), followed by the national guard dogs (9.7%) and the farm dogs (5.9%). IFAT was shown to be the most sensitive test in all groups. However. IFAT specificity was considerably lowered in the farm dog group: 65.2% versus 94.5% for the stray dogs. A considerable drop in PaGIA specificity was noted in the stray dogs group. The results of the current study demonstrate the variability of test characteristics in different situations and underline the danger of using standard values, without verifying their appropriateness for the specific purposes. (C) 2010 Elsevier B.V. All rights reserved."
"Multiple-drug resistant Trypanosoma congolense populations in village cattle of Metekel district, north-west Ethiopia","Investigations were carried out to determine the prophylactic activity of isometamidium chloride in village populations of cattle naturally infected with trypanosomes in Metekel district, northwest Ethiopia. In a cross-sectional study in March 1997, 484 randomly selected cattle from four villages were examined for trypanosome infections by the dark ground/phase contrast buffy coat technique (BCT). The trypanosome prevalence was 17.2%. Trypanosoma congolense was the dominant species accounting for 47.6% of the overall infections. Fifty parasitaemic cattle from two villages were treated with isometainidium chloride (Trypamidium(R)) at a prophylactic dose of 1.0 mg/kg body weight (b.w.) and thereafter monitored on a monthly basis for parasitaemia. Trypanosomes were detected in six cattle within 1 month and in 18 cattle within 2 months of treatment. Twenty three percent (6/26) of cattle infected with T. congolense at the time of treatment were detected parasitaemic with this trypanosome species 1 month after treatment. Mice were infected with three T. congolense isolates obtained from cattle which were detected parasitaemic within one or 2 months after isometamidium treatment. The mice were subsequently treated with ranges of doses of isometamidium chloride or diminazene aceturate (Berenil(R)) and thereafter monitored for parasitaemia for a period of 60 days. Isometamidium chloride at doses of 0.5-4.0 mg/kg b.w. and diminazene aceturate at doses of 3.5-28.0 mg/kg b.w. failed to cure T. congolense infections in any of the animals. Three clones were derived from one of the isolates; each clone expressed high levels of resistance to both trypanocides when tested in mice. Based on these results it is concluded that the prophylactic activity of isometamidium is greatly reduced for some of the T. congolense populations present in the area, and in addition there is resistance to diminazene aceturate in this trypanosome species. (C) 2000 Elsevier Science B.V. All rights reserved."
Prevalence rate of cutaneous leishmaniasis in Bam district during 20 years (1988-2007),no access
"Prevalence of infection by Leishmania spp. in a peri-urban area of Altagracia de Orituco, Guarico state, Venezuela","Leishmania infantum is the etiological agent of the visceral leishmaniasis (VL). However, in the Old World as well in the New World (Central America), this protozoan has also been involved in cases of atypical cutaneous leishmaniasis (ACL). Clinical, molecular and entomological evidences have demonstrated that a similar situation is happening in a peri-urban area of Altagracia de Orituco (Guarico state, Venezuela). With the purpose of contributing to the understanding of such an epidemiological scenario, a cross-sectional study was carryed out using the leishmanin skin test (LST) and screening for the seroprevalence to crude antigens of Leishmania spp. and rK39 by means of the ELISA test in cases of ACL reported in the period 1997-2000 (n = 8), among their co-inhabitants (n = 15) and in a randomly selected sample of 233 people. The dermoprevalence was 31.6% (67/212); 28.8% (67/233) were positive to the ELISA test using promastigotes of L. infantum (= L. chagasi) and 13.3% (31/233) had antibodies anti-L. braziliensis. In addition, the test of ELISA using the antigen rK39 was positive in one out of the eight cases studied and in two out of their co-inhabitants; as well as in 13.7% (32/233) of the inhabitants of the community. The results obtained in this epidemiological study indicate the circulation of species of the sub-genus Leishmania as well as of the subgenus Viannia. The presence of antibodies antiLeishmania in general was associated to the age and the time of residence in the zone."
"Parasite populations of the European eel (Anguilla anguilla L.) in the Rivers Ulla and Tea (Galicia, northwest Spain)","A two-year study was performed of the parasite fauna of the European eel in two rivers, the Ulla and the Tea, in the region of Galicia in northwest Spain, with monthly sampling. A total of 523 eels were captured, and a total of 20 parasite species identified: 7 protozoa (Trypanosoma granulosum, Eimeria anguillae, Myxidium giardi, Myxobolus portucalensis, Hofferellus gilsoni, Ichthyophthirius multifiliis and Trichodina jadranica), 12 helminths (Pseudodactylogyrus anguillae, Pseudodactylogyrus bini, Nicolla gallica, Diplostomum sp., Bothriocephalus claviceps, Paraquimperia tenerrima, Spinitectus inermis, Cucullanus heterochrous, Pseudocapillaria tomentosa, Anisakis simplex L-3 larvae, Anguillicola crassus, and Acanthocephalus clavula) and a copepod (Ergasilus gibbus). This is the first report for M. portucalensis, T jadranica, and R tomentosa from Spain, and for N. gallica from the Iberian Peninsula. Statistically significant differences in prevalence were observed between the two rivers only in the cases of T granulosum, T jadranica, Diplostomum sp. and C heterochrous. The presence of some species was positively correlated with host body length. Some species pairs showed positive or negative mutual correlations of presence, but only for the pair T granulosum-Pseudodactylogyrus spp. were there statistically significant correlations in both rivers. (c) 2005 Elsevier B.V. All rights reserved."
Low Seroprevalence of Leishmania infantum and Toxoplasma gondii in the Horse Population in Israel,"A cross-sectional investigation was done on the seroprevalence of Leishmania infantum and Toxoplasma gondii infection among apparently healthy horses in Israel. This survey included 383 horses distributed in 22 farms throughout Israel during the years 2011-2013. Serum samples were tested for the presence of immunoglobulin G (IgG) antibodies using the direct agglutination test (DAT) specific to Leishmania and by the modified agglutination test (MAT) for the presence of IgG antibodies to T. gondii. Low seroprevalences were detected for both L. infantum and T. gondii in the horse population in Israel; of the 338 horses tested, 6 (1.4%) were found to be seropositive for L. infantum and 11 (2.5%) for T. gondii, with no significant association between seroprevalence and demographic/environmental factors. An ongoing geographical expansion of L. infantum, previously reported in humans and dogs in Israel, was also supported by our results in horses. Here we present evidence of exposure of horses to L. infantum and T. gondii in Israel. Continuous seroprevalence surveillance in horses, such as the one performed in this study, might further elucidate the eco-epidemiology of these two important zoonotic parasites in this country."
An atlas of tsetse and bovine trypanosomosis in Sudan,"Background: After a long period of neglect, initiatives are being implemented in Sudan to control tsetse and trypanosomosis. Their planning, execution and monitoring require reliable information on the geographic distribution of the disease and its vectors. However, geo-referenced and harmonized data at the national level are lacking, despite the fact that a number of epidemiological studies were conducted over the years. The Atlas of tsetse and bovine trypanosomosis in Sudan tries to fill this gap. Methods: The present study includes both a review of historical datasets on tsetse flies and bovine trypanosomosis, as well as the results of recent, targeted field investigations. The review includes both published and unpublished datasets collected in Sudan from 1960 onwards. Targeted field investigations were conducted for trypanosomosis in Blue Nile (2011) and Gezeira States (2012), for tsetse flies in South Darfur (2012) and Blue Nile States (2009 and 2011), and for other trypanosomosis vectors in seven States (Khartoum, Gezeira, White Nile, Blue Nile, North Kordofan, Kassala and Gadarif). The latter surveys, conducted from 2010 to 2012, also enabled us to confirm the absence of tsetse flies in a number of locations. Results: Tsetse fly infestation in Sudan appears to be limited to two relatively small areas at the south-western and south-eastern tips of the Country (South Darfur and Blue Nile State respectively). Glossina morsitans submorsitans is present in both areas, whilst G. fuscipes fuscipes is found only in the latter. In contrast, bovine trypanosomosis is widespread, its presence having being confirmed in eleven States and suspected in all the others. Both mechanical transmission by non-cyclical vectors and animal movement contribute to this broad distribution of trypanosomosis. This is especially the case for Trypanosoma vivax, which was found even in sedentary cattle at hundreds of kilometres of the tsetse belt. Conclusions: The Atlas provides a spatially-explicit synthesis of the current knowledge of tsetse and bovine trypanosomosis in Sudan. Its various epidemiological outputs are being used to target both trypanosomosis control activities and further data collection exercises. Activities are ongoing to expand the Atlas to non-cyclical vectors and hosts other than cattle."
Blood parasites of some Anurans from southern Nigeria,"Eighty nine wild anurans comprising of 14 species from nine genera i.e. Afixalus dorsalis, Amietophrynus maculatus, A. regularis, Amnirana galamensis, Arthroleptis poecilonotus, Arthroleptis sp., Aubria subsigilata, Hoplobatrachus occipitalis, Hyperolus concolor, Hyperolus fusciventris, Hyperolus fusciventris burfoni, Hyperolus sp., Ptychadena mascareniensis and Silurana tropicalis caught from three sampling sites: Okomu Oil Palm Plantation, Usen Cocoa Plantation and the banks of River Niger at Agenegbode, Edo State in southern Nigeria were examined for blood parasites. Nine anuran individuals (10.11%) were parasitaemic. Four species of blood parasites; microfilariae of Folleyellides, microfilariae of an unidentified filarid nematode, a Trypanosoma sp. and an intracellular blood parasite, were identified in the infected anurans. Of the four blood parasite species encountered, the microfilariae of Folleyellides was the most prevalent 7/89 (7.87%), occurring in 2 individuals of Hoplobatrachus occipitalis from Okomu and in 4 individuals of Amietophrynus spp.; in 3 individuals of A. regularis from Agenegbode and in 1 individual of A. maculatus from Usen and in 1 individual of A. galamensis from Agenegbode. It was followed by the Trypanosoma sp. with a prevalence rate of 3.37%, occurring in 1 individual of Amietophrynus maculatus from Usen and in 2 individuals of Amietophrynus regularis from Agenegbode. Folleyellides microfilariae seem to be a multi-host parasite occurring in four host species in contrast to the unidentified filarid detected only in Aubria subsigillata. The unidentified intracellular blood parasite bears close resemblance to Hemoliva sp. and was only detected in A. regularis from Agenegbode. With regards to sex, more females harboured blood parasites with a prevalence of 25% in contrast to males which had only 1.75%."
"Phlebotomus sergenti in a Cutaneous Leishmaniasis Focus in Azilal Province (High Atlas, Morocco): Molecular Detection and Genotyping of Leishmania tropica, and Feeding Behavior","Background Phlebotomus (Paraphlebotomus) sergenti is at least one of the confirmed vectors for the transmission of cutaneous leishmaniasis caused by Leishmania tropica and distributed widely in Morocco. This form of leishmaniasis is considered largely as anthroponotic, although dogs were found infected with Leishmania tropica, suggestive of zoonosis in some rural areas. Methodology and Findings This survey aimed at (i) studying the presence of Leishmania in field caught Phlebotomus sergenti, (ii) investigating genetic diversity within Leishmania tropica and (iii) identifying the host-blood feeding preferences of Phlebotomus sergenti. A total of 4,407 sand flies were collected in three rural areas of Azilal province, using CDC miniature light traps. Samples collected were found to consist of 13 species: Phlebotomus spp. and 3 Sergentomyia spp. The most abundant species was Phlebotomus sergenti, accounting for 45.75% of the total. 965 female Phlebotomus sergenti were screened for the presence of Leishmania by ITS1-PCR-RFLP, giving a positive rate of 5.7%(55/965), all being identified as Leishmania tropica. Nucleotide heterogeneity of PCR-amplified ITS1-5.8S rRNA gene-ITS2 was noted. Analyses of 31 sequences obtained segregated them into 16 haplotypes, of which 7 contain superimposed peaks at certain nucleotide positions, suggestive of heterozygosity. Phlebotomus sergenti collected were found to feed on a large variety of vertebrate hosts, as determined by Cytochrome b sequencing of the DNA from the blood meals of 64 engorged females. Conclusion Our findings supported the notion that Phlebotomus sergenti is the primary vector of Leishmania tropica in this focus, and that the latter is genetically very heterogeneous. Furthermore, our results might be suggestive of a certain level of heterozygosity in Leishmania tropica population. This finding, as well as the feeding of the vectors on different animals are of interest for further investigation."
